UserName,DateTime,FilesChange
thaisonatk,2023-05-07 14:58:14,1
thaisonatk,2023-05-07 14:54:10,1
thaisonatk,2023-05-07 14:47:00,8
thaisonatk,2023-05-05 07:33:58,1
thaisonatk,2023-05-05 07:04:16,8
thaisonatk,2023-05-04 17:14:13,1
thaisonatk,2023-05-04 17:00:32,1
thaisonatk,2023-05-04 16:53:45,2
thaisonatk,2023-05-04 16:46:17,1
thaisonatk,2023-05-04 16:37:42,1
thaisonatk,2023-05-04 16:37:25,1
thaisonatk,2023-05-04 16:32:11,2
thaisonatk,2023-05-04 16:13:15,2
thaisonatk,2023-05-04 16:09:16,3
thaisonatk,2023-05-04 15:39:14,1
thaisonatk,2023-05-04 15:38:28,1
thaisonatk,2023-05-04 15:15:54,1
thaisonatk,2023-05-04 15:07:54,1
thaisonatk,2023-05-04 15:04:36,1
thaisonatk,2023-05-04 14:52:32,1
thaisonatk,2023-04-28 08:33:25,1
thaisonatk,2023-04-28 08:30:50,16
thaisonatk,2023-04-28 07:49:59,1
thaisonatk,2023-04-28 07:45:22,3
thaisonatk,2023-04-28 07:33:44,1
thaisonatk,2023-04-28 07:14:59,1
thaisonatk,2023-04-28 07:10:21,2
thaisonatk,2023-04-28 06:51:43,1
thaisonatk,2023-04-28 06:08:34,1
thaisonatk,2023-04-28 06:05:17,2
thaisonatk,2023-04-24 10:48:02,13
thaisonatk,2023-04-21 08:40:53,5
thaisonatk,2023-04-21 08:21:35,8
thaisonatk,2023-04-17 04:15:19,18
quocanhuet,2023-05-12 06:36:00,7
quocanhuet,2023-05-12 03:42:31,1
quocanhuet,2023-05-12 04:39:48,8
quocanhuet,2023-05-12 02:48:36,20
quocanhuet,2023-05-12 02:35:29,1
quocanhuet,2023-05-12 01:25:23,1
quocanhuet,2023-05-12 01:23:23,8
quocanhuet,2023-05-11 12:59:23,9
quocanhuet,2023-05-08 10:19:12,1
quocanhuet,2023-05-08 09:28:46,2
quocanhuet,2023-05-08 09:26:57,2
quocanhuet,2023-05-08 09:21:27,9
quocanhuet,2023-05-05 07:33:58,1
quocanhuet,2023-05-05 07:04:16,8
quocanhuet,2023-04-28 07:49:59,1
quocanhuet,2023-04-28 07:45:22,3
quocanhuet,2023-04-28 07:33:44,1
quocanhuet,2023-04-28 07:14:59,1
quocanhuet,2023-04-28 07:10:21,2
quocanhuet,2023-04-28 06:51:43,1
